tittle, lat, lng,flood,landslide,earthquake,fire,capacity
福知山市商工会館,35.30159239,135.1244758,0,1,0,1,820
福知山市立惇明小学校,35.29673927,135.1244116,0,1,1,1,430
旧勤労青少年ホーム,35.29579438,135.1260875,1,1,0,1,240
福知山市立南陵中学校,35.29238418,135.1228938,1,1,1,1,670
福知山市立昭和小学校,35.30210719,135.1180402,0,1,1,1,740
福知山市立大正小学校,35.28735659,135.1361625,1,1,1,1,480
福知山市立桃映中学校,35.28788057,135.1293101,0,1,1,1,550
福知山市立雀部小学校,35.2977773,135.1572595,1,1,1,1,300
福知山市立日新中学校,35.29264418,135.163085,1,1,1,1,470
福知山市立遷喬小学校,35.29854267,135.180861,1,0,0,1,400
福知山市立成仁小学校,35.29586482,135.1706279,1,1,1,1,430
佐賀会館,35.31903237,135.1812418,1,1,1,1,130
福知山市立庵我小学校,35.32158177,135.1209382,1,1,1,1,400
庵我会館,35.32075716,135.1214069,1,1,1,1,180
成和地域公民館,35.29026938,135.0847028,1,1,1,1,410
福知山市立修斉小学校,35.30252971,135.0972172,1,1,1,1,460
福知山市立成和中学校,35.30688056,135.1051269,1,1,1,1,460
福知山市立天津小学校,35.34184968,135.1077387,0,1,1,1,90
福知山市立上豊富小学校,35.28434556,135.0503426,1,1,1,1,430
上豊富会館,35.28383572,135.0497784,1,1,1,1,190
福知山市立旧上六人部小学校,35.25275994,135.209705,0,1,1,1,330
福知山市立旧中六人部小学校,35.254541,135.1750323,1,1,1,1,400
中六人部ふれあいセンター,35.25557995,135.1756795,1,1,1,1,170
福知山市立六人部中学校,35.26970986,135.1831294,1,1,1,1,420
六人部地域公民館,35.27109238,135.1835632,1,1,1,1,390
福知山市立六人部小学校,35.27458711,135.1692751,1,1,1,1,330
福知山市立上川口小学校,35.33521426,135.0814257,1,1,1,1,380
福知山市立川口中学校,35.33526367,135.0733609,1,1,1,1,430
福知山市立金谷小学校,35.32904158,135.0400546,1,0,0,1,360
金谷会館,35.32613544,135.0397718,0,0,0,1,220
福知山市立旧三岳小学校,35.3665214,135.0494392,1,0,0,1,220
北陵地域公民館,35.41957135,135.0883514,1,0,0,1,230
福知山市立旧菟原小学校,35.20068324,135.259115,1,1,1,1,800
福知山市立旧細見小学校,35.21722246,135.2372161,1,0,0,1,700
福知山市立三和学園,35.21819855,135.2353221,1,0,0,1,900
福知山市立川合小学校,35.2432851,135.2616501,0,0,0,1,350
福知山市立大江学園,35.3911373,135.1628735,0,1,1,1,400
福知山市立旧美河小学校,35.39291253,135.1455397,0,0,0,1,300
福知山市立旧美鈴小学校,35.40959297,135.1520667,0,1,1,1,300
福知山市立旧有仁小学校,35.38714088,135.1792886,0,1,1,1,300
福知山市立夜久野学園,35.32874804,134.9552412,0,0,0,1,2520
福知山市立旧精華小学校,35.3514192,134.9456833,0,1,1,1,1390
福知山市立旧明正小学校,35.32163097,135.0054868,0,1,1,1,1070
夜久野ふれあいプラザ,35.31851248,135.0025777,0,0,0,1,1570
中丹勤労者福祉会館,35.30407436,135.1167637,0,1,1,1,410
京都府立福知山高等学校,35.29477243,135.1456371,1,1,1,1,1000
京都府立工業高等学校,35.29725093,135.1770053,1,1,1,1,900
長田野体育館,35.28832007,135.1601177,1,1,1,1,600
日新地域公民館,35.2972652,135.1739824,1,1,1,1,320
三段池公園総合体育館,35.3127659,135.1360598,1,1,1,1,4230
川口地域公民館,35.33474481,135.0704702,1,1,1,1,263
三和荘体育館,35.22334905,135.2222762,1,1,1,1,400
三和地域公民館,35.21629115,135.2355767,1,1,1,1,150
大江地域公民館,35.37346884,135.139816,1,0,0,1,150
有路下体育館,35.40625945,135.1935464,0,0,0,1,300
総合福祉会館,35.29799722,135.1281347,0,1,0,1,930
市民交流プラザ,35.29639333,135.11944,0,1,1,1,1340
ハピネスふくちやま,35.29649333,135.1259386,0,1,1,1,470
武道館,35.312041,135.134743,1,1,1,1,255
下川口会館,35.34227611,135.1074461,0,1,1,1,170
上六人部会館,35.25234583,135.2096494,1,1,1,1,260
菟原中公民館,35.19975194,135.2618775,1,1,1,1,100
川合集落センター,35.24418333,135.2650403,1,1,0,1,50
金屋ふれあいセンター,35.39313944,135.1537964,1,1,1,1,150
Ｕターン１サテライト,35.37285639,135.1282678,1,0,0,1,30
大雲記念館,35.39300326,135.1777617,1,0,0,1,50
中夜久野集会所,35.11475875,135.1552832,1,0,0,1,40
